CASE_NUM,CRIME_DESC,CHARGE_CODE,CHARGE_DESC,CRIME_PART,ADDRESS,CITY,DATE,CATEGORY,POINT_X,POINT_Y
210047608,TRESPASS OF REAL PROPERTY,5707,TRESPASS (OTHER),B,200 BLOCK S STATE ST,ANN ARBOR,2021-12-22 17:00:00,TRESPASSING / INVASION OF PRIVACY,-83.74103859899998,42.27954099900006
210047719,SHOPLIFTING,3078,"RETAIL FRAUD, THEFT 3RD DEGREE",A,200 BLOCK S STATE ST,ANN ARBOR,2021-12-23 16:28:00,LARCENY - RETAIL FRAUD,-83.74041619899998,42.279545400000075
210047838,FALSE PRETENSE/SWINDLE/CONFIDENCE GAME,2602,FRAUD - SWINDLE,A,600 BLOCK FOUNTAIN ST,ANN ARBOR,2021-12-24 15:48:00,FRAUD,-83.75375580099995,42.286735399000065
210047473,BURGLARY/BREAKING & ENTERING,2202,B&E - BURGLARY - FORCED ENTRY - RESIDENCE - HOME INVASION,A,1100 BLOCK PROSPECT ST,ANN ARBOR,2021-12-19 00:00:00,BURGLARY - RESIDENTIAL,-83.73491760099995,42.26875380000007
210047612,CREDIT CARD/ATM,2605,FRAUD - ILLEGAL USE OF CREDIT CARD,A,400 BLOCK W KEECH AVE,ANN ARBOR,2021-12-10 14:37:00,FRAUD,-83.75180589999997,42.267296799000064
210047923,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2901,DAMAGE TO PROPERTY - BUSINESS PROPERTY - MDOP,A,200 BLOCK E HURON ST,ANN ARBOR,2021-12-25 18:30:00,DAMAGE TO PROPERTY,-83.74711749999994,42.281119200000035
210047892,DISORDERLY CONDUCT,5393,DISORDERLY CONDUCT (OTHER),B,600 BLOCK S MAIN ST,ANN ARBOR,2021-12-25 10:15:00,PUBLIC PEACE,-83.74867340099996,42.27382030100006
210047869,ALL OTHER,5013,CONDITIONAL RELEASE VIOLATION,B,300 BLOCK DEPOT ST,ANN ARBOR,2021-12-24 22:57:30,OBSTRUCTING JUSTICE,-83.74437890099995,42.287834900000064
210047959,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,2700 BLOCK JACKSON AVE,ANN ARBOR,2021-12-26 09:37:30,LARCENY - FROM AUTO (LFA),-83.78597229999997,42.28264339900005
210047946,ALL OTHER LARCENY,2399,LARCENY (OTHER),A,1500 BLOCK S STATE ST,ANN ARBOR,2021-12-23 17:02:30,LARCENY - ALL OTHER,-83.74019509999994,42.26165149900004
210046051,SIMPLE ASSAULT,1313,ASSAULT/ BATTERY/SIMPLE (INCL DOMESTIC AND POLICE OFFICER,A,800 BLOCK S MAPLE RD,ANN ARBOR,2021-12-11 15:06:00,ASSAULT - SIMPLE,-83.78073379999995,42.27165620000005
210047944,ALL OTHER,7402,PROWLER,B,200 BLOCK N THAYER ST,ANN ARBOR TWP,2021-12-26 02:20:00,OTHER - MICR OFFENSES,-83.73957019899996,42.28286440100004
210047855,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,300 BLOCK SECOND ST,ANN ARBOR,2021-12-24 18:50:00,DAMAGE TO PROPERTY,-83.75217929899998,42.27878700000008
210047407,ALL OTHER,7400,FALSELY SUMMON POLICE OFFICER,B,W LIBERTY ST & S FIRST ST,ANN ARBOR,2021-12-21 02:56:00,OTHER - ORDINANCE VIOLATIONS,-83.75108450099998,42.27949490000003
210048052,THEFT FROM MOTOR VEHICLE,2305,LARCENY - PERSONAL PROPERTY FROM VEHICLE - LFA,A,2600 BLOCK BRAEBURN CIR,ANN ARBOR,2021-12-27 03:00:00,LARCENY - FROM AUTO (LFA),-83.70760779999995,42.23128320100005
211000854,IDENTITY THEFT FRAUD,2609,IDENTITY THEFT,A,2900 BLOCK WHITTIER CT,ANN ARBOR,2021-12-17 15:00:00,FRAUD,-83.72756779999997,42.245532801000024
211000852,THEFT FROM BUILDING,2308,"LARCENY - FROM BUILDING (INCLUDES LIBRARY, OFFICE USED BY PUBLIC, ETC)",A,600 BLOCK W STADIUM BLVD,ANN ARBOR,2021-12-16 17:45:00,LARCENY - ALL OTHER,-83.75311269899998,42.262054300000045
211000852,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,2902,DAMAGE TO PROPERTY - PRIVATE PROPERTY - MDOP,A,600 BLOCK W STADIUM BLVD,ANN ARBOR,2021-12-16 17:45:00,DAMAGE TO PROPERTY,-83.75311269899998,42.262054300000045
210048015,BURGLARY/BREAKING & ENTERING,2202,B&E - BURGLARY - FORCED ENTRY - RESIDENCE - HOME INVASION,A,1300 BLOCK S STATE ST,ANN ARBOR,2021-12-23 02:55:00,BURGLARY - RESIDENTIAL,-83.74018789899998,42.265320400000064
210046207,DRIVING UNDER THE INFLUENCE,8041,OPERATING UNDER THE INFLUENCE OF ALCOHOL / LIQUOR OWI,B,E EISENHOWER PKWY & S STATE ST,ANN ARBOR,2021-12-12 16:09:00,OUI OF LIQUOR / DRUGS,-83.73917059899998,42.24379110000007
